,Name,College_or_above_percentage,Some_college_percentage,Highschool_percentage,No_highschool_percentage
2689,"Hopkins County, Texas",21.3,29.2,34.3,15.1
2690,"Houston County, Texas",15.6,29.3,36.4,18.8
2691,"Howard County, Texas",13.4,32.1,34.7,19.9
2692,"Hudspeth County, Texas",9.9,15.3,31.3,43.5
2693,"Hunt County, Texas",20.4,30.6,34.6,14.4
2694,"Hutchinson County, Texas",15.4,37.1,33.7,13.8
2695,"Irion County, Texas",20.5,34.9,38.7,5.9
2696,"Jack County, Texas",14.5,28.5,38.2,18.9
2697,"Jackson County, Texas",15.4,32.9,33.1,18.6
2698,"Jasper County, Texas",13.3,26.8,44.9,15.0
2699,"Jeff Davis County, Texas",29.9,35.4,15.4,19.3
2700,"Jefferson County, Texas",19.3,32.6,32.1,16.1
2701,"Jim Hogg County, Texas",13.2,20.1,41.2,25.5
2702,"Jim Wells County, Texas",16.2,26.8,35.2,21.8
2703,"Johnson County, Texas",19.5,30.4,35.8,14.2
2704,"Jones County, Texas",11.8,29.0,38.2,21.0
2705,"Karnes County, Texas",15.9,23.6,36.3,24.3
2706,"Kaufman County, Texas",20.2,32.6,33.1,14.2
2707,"Kendall County, Texas",45.3,29.6,19.2,5.9
2708,"Kenedy County, Texas",1.5,5.9,14.4,78.1
2709,"Kent County, Texas",32.8,34.9,25.7,6.5
2710,"Kerr County, Texas",28.2,32.9,28.3,10.7
2711,"Kimble County, Texas",24.7,28.4,30.6,16.3
2712,"King County, Texas",13.5,13.5,51.4,21.6
2713,"Kinney County, Texas",18.8,34.4,27.9,19.0
2714,"Kleberg County, Texas",24.3,27.0,27.8,20.9
2715,"Knox County, Texas",18.8,31.2,30.6,19.3
2716,"Lamar County, Texas",18.7,33.9,33.5,13.9
2717,"Lamb County, Texas",12.6,28.2,35.1,24.2
2718,"Lampasas County, Texas",18.4,42.2,29.3,10.1
2719,"La Salle County, Texas",6.7,13.5,44.4,35.3
2720,"Lavaca County, Texas",17.9,27.6,40.7,13.8
2721,"Lee County, Texas",14.0,32.4,36.6,17.0
2722,"Leon County, Texas",15.0,27.9,39.0,18.1
2723,"Liberty County, Texas",9.9,29.3,39.1,21.8
2724,"Limestone County, Texas",16.7,31.3,35.3,16.8
2725,"Lipscomb County, Texas",23.6,29.1,29.8,17.4
2726,"Live Oak County, Texas",11.1,30.9,35.7,22.4
2727,"Llano County, Texas",25.9,33.8,26.8,13.5
2728,"Loving County, Texas",0.0,81.8,14.8,3.4
2729,"Lubbock County, Texas",32.0,30.1,25.1,12.8
2730,"Lynn County, Texas",20.7,28.5,29.5,21.3
2731,"McCulloch County, Texas",17.7,31.3,31.3,19.6
2732,"McLennan County, Texas",25.0,32.7,27.7,14.6
2733,"McMullen County, Texas",14.8,28.5,45.7,11.1
2734,"Madison County, Texas",13.8,28.5,38.9,18.8
2735,"Marion County, Texas",16.7,29.7,39.8,13.9
2736,"Martin County, Texas",19.4,25.3,34.2,21.1
2737,"Mason County, Texas",35.0,31.9,18.6,14.5
2738,"Matagorda County, Texas",19.5,32.7,29.9,17.9
2739,"Maverick County, Texas",15.7,21.8,24.0,38.5
2740,"Medina County, Texas",20.3,32.3,31.8,15.6
2741,"Menard County, Texas",26.7,27.1,29.6,16.5
2742,"Midland County, Texas",27.4,30.6,26.1,15.9
2743,"Milam County, Texas",15.1,29.2,39.3,16.4
2744,"Mills County, Texas",21.1,28.2,33.5,17.2
2745,"Mitchell County, Texas",12.1,27.5,45.1,15.2
2746,"Montague County, Texas",17.4,33.5,35.7,13.3
2747,"Montgomery County, Texas",34.9,30.9,23.3,10.8
2748,"Moore County, Texas",14.2,24.1,27.1,34.6
2749,"Morris County, Texas",14.1,33.8,43.1,8.9
2750,"Motley County, Texas",16.7,35.2,36.8,11.3
2751,"Nacogdoches County, Texas",24.4,30.4,28.8,16.3
2752,"Navarro County, Texas",17.0,32.9,30.1,20.0
2753,"Newton County, Texas",8.8,29.5,43.0,18.7
2754,"Nolan County, Texas",15.1,33.0,34.5,17.4
2755,"Nueces County, Texas",21.7,32.9,29.3,16.2
2756,"Ochiltree County, Texas",16.7,24.4,33.2,25.7
2757,"Oldham County, Texas",26.8,33.9,30.9,8.3
2758,"Orange County, Texas",16.0,35.6,36.8,11.6
2759,"Palo Pinto County, Texas",18.1,34.3,35.4,12.3
2760,"Panola County, Texas",15.6,37.3,31.2,16.0
2761,"Parker County, Texas",26.7,34.2,28.1,11.0
2762,"Parmer County, Texas",15.1,28.8,30.3,25.9
2763,"Pecos County, Texas",11.6,25.1,35.9,27.5
2764,"Polk County, Texas",14.3,30.2,37.4,18.1
2765,"Potter County, Texas",15.4,29.3,32.5,22.8
2766,"Presidio County, Texas",19.5,18.2,10.9,51.5
2767,"Rains County, Texas",15.3,30.1,37.7,17.0
2768,"Randall County, Texas",30.9,37.8,24.2,7.0
2769,"Reagan County, Texas",11.7,27.9,43.1,17.4
2770,"Real County, Texas",16.8,35.8,35.3,12.1
2771,"Red River County, Texas",15.7,33.8,39.5,11.0
2772,"Reeves County, Texas",10.6,22.6,36.2,30.6
2773,"Refugio County, Texas",11.1,30.6,41.0,17.4
2774,"Roberts County, Texas",23.9,35.5,33.3,7.3
2775,"Robertson County, Texas",18.4,28.9,37.4,15.3
2776,"Rockwall County, Texas",42.9,32.6,17.6,7.0
2777,"Runnels County, Texas",16.6,29.4,35.1,18.9
2778,"Rusk County, Texas",15.9,34.5,32.2,17.4
2779,"Sabine County, Texas",17.4,33.2,35.2,14.3
2780,"San Augustine County, Texas",14.0,26.2,41.8,18.0
2781,"San Jacinto County, Texas",15.2,27.8,42.5,14.5
2782,"San Patricio County, Texas",15.9,32.8,32.8,18.6
2783,"San Saba County, Texas",17.4,26.5,37.0,19.2
2784,"Schleicher County, Texas",16.1,35.0,28.2,20.8
2785,"Scurry County, Texas",16.1,31.1,33.0,19.8
2786,"Shackelford County, Texas",32.6,34.9,20.5,12.0
2787,"Shelby County, Texas",14.0,29.4,34.5,22.0
2788,"Sherman County, Texas",18.5,31.3,24.6,25.6
2789,"Smith County, Texas",27.0,36.5,23.5,12.9
2790,"Somervell County, Texas",28.9,28.3,34.7,8.2
2791,"Starr County, Texas",10.9,20.2,26.5,42.4
2792,"Stephens County, Texas",15.7,31.1,33.0,20.2
2793,"Sterling County, Texas",18.4,22.0,48.7,10.9
2794,"Stonewall County, Texas",12.5,29.1,40.1,18.4
2795,"Sutton County, Texas",18.4,24.4,32.6,24.7
2796,"Swisher County, Texas",15.9,24.1,35.2,24.8
2797,"Tarrant County, Texas",32.6,30.0,23.9,13.5
2798,"Taylor County, Texas",26.8,32.1,30.5,10.5
2799,"Terrell County, Texas",22.6,40.2,22.5,14.8
2800,"Terry County, Texas",11.6,27.9,30.3,30.3
2801,"Throckmorton County, Texas",22.3,27.3,37.4,13.0
2802,"Titus County, Texas",16.8,26.0,35.5,21.8
2803,"Tom Green County, Texas",25.0,32.3,29.1,13.6
2804,"Travis County, Texas",51.5,23.0,15.7,9.7
2805,"Trinity County, Texas",13.6,33.2,35.7,17.4
2806,"Tyler County, Texas",14.2,25.4,41.7,18.7
2807,"Upshur County, Texas",18.2,33.6,34.9,13.2
2808,"Upton County, Texas",14.0,26.1,38.0,21.9
2809,"Uvalde County, Texas",19.4,26.9,29.6,24.1
2810,"Val Verde County, Texas",19.1,26.4,24.5,30.0
2811,"Van Zandt County, Texas",15.8,36.5,33.0,14.7
2812,"Victoria County, Texas",18.9,34.0,30.5,16.6
2813,"Walker County, Texas",19.0,27.0,39.9,14.0
2814,"Waller County, Texas",23.0,30.8,31.5,14.8
2815,"Ward County, Texas",11.5,31.5,36.5,20.5
2816,"Washington County, Texas",28.1,28.4,31.0,12.5
2817,"Webb County, Texas",18.8,24.8,24.6,31.8
2818,"Wharton County, Texas",18.8,32.2,29.1,20.0
2819,"Wheeler County, Texas",15.3,34.0,30.7,20.1
2820,"Wichita County, Texas",23.1,32.5,32.6,11.7
2821,"Wilbarger County, Texas",14.9,30.4,33.4,21.3
2822,"Willacy County, Texas",9.2,23.7,37.2,29.9
2823,"Williamson County, Texas",41.9,31.2,20.2,6.7
2824,"Wilson County, Texas",22.9,31.3,34.3,11.4
2825,"Winkler County, Texas",9.5,28.9,30.4,31.1
2826,"Wise County, Texas",18.8,33.1,34.2,13.9
2827,"Wood County, Texas",19.2,33.4,33.1,14.4
2828,"Yoakum County, Texas",11.8,27.3,30.1,30.8
2829,"Young County, Texas",23.6,30.9,30.4,15.2
2830,"Zapata County, Texas",12.2,21.9,30.6,35.3
2831,"Zavala County, Texas",12.4,28.3,35.0,24.3
2832,"Utah, Utah",34.7,35.5,22.8,7.0
2833,"Beaver County, Utah",25.8,38.5,27.0,8.6
2834,"Box Elder County, Utah",23.7,38.8,30.4,7.1
2835,"Cache County, Utah",38.5,34.9,20.2,6.5
2836,"Carbon County, Utah",16.8,46.0,29.4,7.8
2837,"Daggett County, Utah",14.7,38.8,42.5,3.9
2838,"Davis County, Utah",38.2,36.6,21.2,4.1
2839,"Duchesne County, Utah",13.7,37.1,38.4,10.8
2840,"Emery County, Utah",15.8,48.5,30.1,5.6
2841,"Garfield County, Utah",25.4,37.7,30.6,6.3
2842,"Grand County, Utah",30.7,36.1,27.1,6.2
2843,"Iron County, Utah",28.9,41.4,23.1,6.6
2844,"Juab County, Utah",18.7,35.9,37.8,7.6
2845,"Kane County, Utah",29.7,36.9,24.8,8.6
2846,"Millard County, Utah",22.4,34.9,32.4,10.4
2847,"Morgan County, Utah",38.4,39.3,20.2,2.2
2848,"Piute County, Utah",21.6,40.6,30.5,7.3
2849,"Rich County, Utah",22.0,45.4,28.2,4.3
2850,"Salt Lake County, Utah",36.5,32.6,22.4,8.5
2851,"San Juan County, Utah",19.2,36.1,30.5,14.3
2852,"Sanpete County, Utah",20.7,39.6,31.6,8.0
2853,"Sevier County, Utah",20.9,38.9,31.2,9.0
2854,"Summit County, Utah",56.1,23.1,16.0,4.8
2855,"Tooele County, Utah",23.1,37.1,31.9,7.9
2856,"Uintah County, Utah",16.3,34.1,38.1,11.5
2857,"Utah County, Utah",41.1,37.3,16.7,4.8
2858,"Wasatch County, Utah",43.7,31.2,20.6,4.6
2859,"Washington County, Utah",29.2,42.1,22.5,6.2
2860,"Wayne County, Utah",24.0,46.5,19.0,10.4
2861,"Weber County, Utah",25.1,37.2,29.3,8.5
2862,"Vermont, Vermont",39.7,25.6,28.3,6.5
2863,"Addison County, Vermont",41.0,23.3,30.0,5.8
2864,"Bennington County, Vermont",37.5,27.1,28.1,7.4
2865,"Caledonia County, Vermont",30.7,27.3,34.8,7.2
2866,"Chittenden County, Vermont",52.6,23.7,18.5,5.2
2867,"Essex County, Vermont",18.4,26.2,43.8,11.6
2868,"Franklin County, Vermont",26.5,27.0,37.5,8.9
2869,"Grand Isle County, Vermont",42.2,23.8,27.9,6.1
2870,"Lamoille County, Vermont",41.0,26.9,24.5,7.5
2871,"Orange County, Vermont",31.9,26.2,34.5,7.3
2872,"Orleans County, Vermont",24.2,27.1,38.1,10.5
2873,"Rutland County, Vermont",32.2,27.9,33.6,6.3
2874,"Washington County, Vermont",43.7,24.9,25.6,5.8
2875,"Windham County, Vermont",39.7,24.0,30.0,6.2
2876,"Windsor County, Vermont",38.4,27.0,29.4,5.3
2877,"Virginia, Virginia",39.5,26.9,23.9,9.7
2878,"Accomack County, Virginia",19.7,25.9,36.8,17.5
2879,"Albemarle County, Virginia",58.7,19.4,14.5,7.3
2880,"Alleghany County, Virginia",14.6,32.1,42.7,10.6
2881,"Amelia County, Virginia",18.2,24.6,42.8,14.4
2882,"Amherst County, Virginia",21.3,27.3,38.0,13.4
2883,"Appomattox County, Virginia",21.5,29.4,36.9,12.2
2884,"Arlington County, Virginia",75.8,11.2,7.9,5.1
2885,"Augusta County, Virginia",22.3,26.2,40.2,11.3
2886,"Bath County, Virginia",17.4,31.4,38.7,12.5
2887,"Bedford County, Virginia",30.9,30.9,30.1,8.2
2888,"Bland County, Virginia",13.4,32.3,42.9,11.4
2889,"Botetourt County, Virginia",26.9,32.3,34.4,6.4
2890,"Brunswick County, Virginia",14.8,25.8,36.4,23.0
2891,"Buchanan County, Virginia",11.8,23.8,36.9,27.4
2892,"Buckingham County, Virginia",12.6,25.9,44.0,17.5
2893,"Campbell County, Virginia",23.5,31.8,33.5,11.2
2894,"Caroline County, Virginia",21.8,27.3,38.9,12.0
2895,"Carroll County, Virginia",14.8,28.2,37.9,19.1
2896,"Charles City County, Virginia",16.2,25.5,39.8,18.5
2897,"Charlotte County, Virginia",13.9,31.8,38.2,16.1
2898,"Chesterfield County, Virginia",40.1,29.4,23.1,7.4
2899,"Clarke County, Virginia",34.7,28.0,29.0,8.3
2900,"Craig County, Virginia",21.7,32.6,37.2,8.5
2901,"Culpeper County, Virginia",25.2,30.9,31.1,12.9
2902,"Cumberland County, Virginia",16.5,33.9,35.3,14.2
2903,"Dickenson County, Virginia",11.4,30.4,36.5,21.8
2904,"Dinwiddie County, Virginia",17.8,29.5,37.1,15.5
2905,"Essex County, Virginia",16.2,30.8,35.8,17.2
2906,"Fairfax County, Virginia",62.1,17.9,12.6,7.3
2907,"Fauquier County, Virginia",36.7,30.9,24.3,8.1
2908,"Floyd County, Virginia",21.7,31.0,36.4,11.0
2909,"Fluvanna County, Virginia",35.6,33.0,23.8,7.5
2910,"Franklin County, Virginia",22.7,31.3,34.3,11.6
2911,"Frederick County, Virginia",26.8,29.7,31.9,11.6
2912,"Giles County, Virginia",19.5,32.7,37.7,10.0
2913,"Gloucester County, Virginia",24.0,34.1,30.9,10.9
2914,"Goochland County, Virginia",43.8,26.1,23.2,6.9
2915,"Grayson County, Virginia",16.0,30.3,36.7,16.9
2916,"Greene County, Virginia",30.0,28.1,29.8,12.1
2917,"Greensville County, Virginia",11.3,26.4,40.4,21.9
2918,"Halifax County, Virginia",16.1,29.8,36.6,17.6
2919,"Hanover County, Virginia",40.3,27.9,25.6,6.1
2920,"Henrico County, Virginia",44.3,26.5,21.7,7.5
2921,"Henry County, Virginia",15.1,30.5,34.6,19.8
2922,"Highland County, Virginia",30.7,23.7,35.5,10.1
2923,"Isle of Wight County, Virginia",28.0,31.1,29.7,11.1
2924,"James City County, Virginia",51.0,26.7,17.8,4.6
2925,"King and Queen County, Virginia",25.8,28.8,36.1,9.3
2926,"King George County, Virginia",35.5,30.1,26.9,7.5
2927,"King William County, Virginia",24.1,37.1,33.0,5.8
2928,"Lancaster County, Virginia",33.9,25.8,30.5,9.8
2929,"Lee County, Virginia",9.6,34.4,35.0,21.0
2930,"Loudoun County, Virginia",61.6,19.9,12.4,6.1
2931,"Louisa County, Virginia",25.2,29.4,33.8,11.6
2932,"Lunenburg County, Virginia",12.5,29.5,39.9,18.2
2933,"Madison County, Virginia",24.5,29.1,35.0,11.4
2934,"Mathews County, Virginia",29.1,34.9,27.9,8.1
2935,"Mecklenburg County, Virginia",23.1,29.6,32.1,15.2
2936,"Middlesex County, Virginia",26.9,30.7,30.2,12.2
2937,"Montgomery County, Virginia",46.0,24.7,23.1,6.2
2938,"Nelson County, Virginia",30.9,18.2,36.2,14.7
2939,"New Kent County, Virginia",32.1,30.8,30.6,6.5
2940,"Northampton County, Virginia",26.1,24.8,34.2,14.9
2941,"Northumberland County, Virginia",32.6,28.3,31.2,7.9
2942,"Nottoway County, Virginia",15.5,28.1,38.6,17.7
2943,"Orange County, Virginia",25.7,27.7,36.3,10.3
2944,"Page County, Virginia",14.3,22.9,46.6,16.2
2945,"Patrick County, Virginia",14.9,30.8,36.6,17.7
2946,"Pittsylvania County, Virginia",15.2,31.6,37.2,15.9
2947,"Powhatan County, Virginia",30.6,28.9,30.2,10.4
2948,"Prince Edward County, Virginia",25.5,25.6,34.3,14.6
2949,"Prince George County, Virginia",23.4,35.9,30.4,10.2
2950,"Prince William County, Virginia",41.9,27.4,19.9,10.8
2951,"Pulaski County, Virginia",19.7,35.6,33.7,10.9
2952,"Rappahannock County, Virginia",34.1,31.1,25.7,9.1
2953,"Richmond County, Virginia",18.1,26.5,35.6,19.9
2954,"Roanoke County, Virginia",36.0,30.1,27.2,6.7
2955,"Rockbridge County, Virginia",27.6,26.6,34.8,11.0
2956,"Rockingham County, Virginia",27.0,22.4,35.9,14.7
2957,"Russell County, Virginia",10.2,32.8,38.1,18.9
2958,"Scott County, Virginia",15.0,30.8,36.3,17.9
2959,"Shenandoah County, Virginia",19.7,27.4,41.0,11.9
2960,"Smyth County, Virginia",14.9,31.0,37.5,16.6
2961,"Southampton County, Virginia",19.3,35.8,30.2,14.8
2962,"Spotsylvania County, Virginia",32.1,30.9,28.4,8.7
2963,"Stafford County, Virginia",41.3,29.4,22.3,7.0
2964,"Surry County, Virginia",20.4,30.0,34.0,15.6
2965,"Sussex County, Virginia",13.3,26.5,40.9,19.3
2966,"Tazewell County, Virginia",15.2,31.2,37.0,16.6
2967,"Warren County, Virginia",20.8,30.9,36.2,12.1
2968,"Washington County, Virginia",24.2,29.2,32.8,13.8
2969,"Westmoreland County, Virginia",18.3,29.4,36.1,16.2
2970,"Wise County, Virginia",14.8,30.0,32.5,22.7
2971,"Wythe County, Virginia",19.0,29.5,38.9,12.6
2972,"York County, Virginia",49.5,28.3,17.4,4.8
2973,"Alexandria city, Virginia",65.1,17.7,10.3,7.0
2974,"Bedford city, Virginia",,,,
2975,"Bristol city, Virginia",21.8,33.1,31.3,13.8
2976,"Buena Vista city, Virginia",19.1,26.9,33.7,20.3
2977,"Charlottesville city, Virginia",55.7,18.6,16.6,9.1
2978,"Chesapeake city, Virginia",34.6,34.9,23.7,6.8
2979,"Clifton Forge city, Virginia",,,,
2980,"Colonial Heights city, Virginia",26.6,34.2,31.0,8.2
2981,"Covington city, Virginia",15.1,29.9,43.4,11.5
2982,"Danville city, Virginia",18.4,31.5,33.7,16.4
2983,"Emporia city, Virginia",11.7,32.7,30.7,24.9
2984,"Fairfax city, Virginia",60.3,18.9,13.4,7.4
2985,"Falls Church city, Virginia",79.1,11.2,6.5,3.2
2986,"Franklin city, Virginia",19.0,33.1,31.6,16.3
2987,"Fredericksburg city, Virginia",42.4,26.4,23.3,7.8
2988,"Galax city, Virginia",17.1,30.7,27.7,24.6
2989,"Hampton city, Virginia",26.7,35.6,29.6,8.2
2990,"Harrisonburg city, Virginia",35.2,22.2,25.9,16.7
2991,"Hopewell city, Virginia",12.8,35.1,36.5,15.5
2992,"Lexington city, Virginia",50.0,18.1,23.6,8.3
2993,"Lynchburg city, Virginia",36.0,28.3,24.3,11.4
2994,"Manassas city, Virginia",31.3,27.6,26.7,14.3
2995,"Manassas Park city, Virginia",25.6,24.9,27.4,22.1
2996,"Martinsville city, Virginia",21.7,34.4,30.2,13.7
2997,"Newport News city, Virginia",28.0,35.3,28.2,8.4
2998,"Norfolk city, Virginia",30.0,33.3,24.8,11.9
2999,"Norton city, Virginia",20.2,31.9,33.3,14.6
3000,"Petersburg city, Virginia",20.3,28.1,35.0,16.7
3001,"Poquoson city, Virginia",42.9,29.7,23.4,4.0
3002,"Portsmouth city, Virginia",20.8,37.9,30.6,10.7
3003,"Radford city, Virginia",40.7,29.1,20.8,9.4
3004,"Richmond city, Virginia",41.2,24.5,21.3,13.1
3005,"Roanoke city, Virginia",24.8,27.7,35.2,12.3
3006,"Salem city, Virginia",30.3,32.9,27.7,9.2
3007,"Staunton city, Virginia",31.1,29.2,29.4,10.3
3008,"Suffolk city, Virginia",29.6,34.6,26.0,9.7
3009,"Virginia Beach city, Virginia",37.3,36.0,20.8,6.0
3010,"Waynesboro city, Virginia",28.9,24.9,33.2,12.9
3011,"Williamsburg city, Virginia",50.6,23.1,19.5,6.8
3012,"Winchester city, Virginia",34.3,27.1,24.8,13.8
3013,"Washington, Washington",36.7,33.2,21.8,8.3
3014,"Adams County, Washington",13.8,23.4,31.7,31.1
3015,"Asotin County, Washington",23.4,40.1,27.5,9.0
3016,"Benton County, Washington",31.6,35.8,23.6,9.0
3017,"Chelan County, Washington",26.4,31.8,25.5,16.3
3018,"Clallam County, Washington",28.8,37.2,26.0,7.9
3019,"Clark County, Washington",31.3,37.2,24.4,7.0
3020,"Columbia County, Washington",25.3,43.6,19.2,11.9
3021,"Cowlitz County, Washington",17.0,42.5,30.4,10.1
3022,"Douglas County, Washington",20.6,32.8,29.2,17.4
3023,"Ferry County, Washington",21.2,33.6,35.1,10.1
3024,"Franklin County, Washington",18.9,32.5,25.2,23.3
3025,"Garfield County, Washington",25.7,42.2,27.6,4.5
3026,"Grant County, Washington",18.0,33.5,27.1,21.5
3027,"Grays Harbor County, Washington",16.1,38.3,35.5,10.1
3028,"Island County, Washington",34.1,39.5,22.0,4.4
3029,"Jefferson County, Washington",42.5,32.6,21.2,3.7
3030,"King County, Washington",53.4,25.2,14.8,6.6
3031,"Kitsap County, Washington",34.4,39.2,21.3,5.1
3032,"Kittitas County, Washington",34.1,32.9,24.8,8.2
3033,"Klickitat County, Washington",30.5,32.6,25.7,11.2
3034,"Lewis County, Washington",19.1,40.6,29.7,10.6
3035,"Lincoln County, Washington",25.4,40.4,27.1,7.1
3036,"Mason County, Washington",18.1,40.2,31.3,10.4
3037,"Okanogan County, Washington",20.2,34.7,29.6,15.4
3038,"Pacific County, Washington",20.3,39.5,30.0,10.2
3039,"Pend Oreille County, Washington",21.1,37.2,32.4,9.3
3040,"Pierce County, Washington",27.7,37.6,26.5,8.2
3041,"San Juan County, Washington",51.7,29.0,15.3,4.1
3042,"Skagit County, Washington",27.4,37.6,25.6,9.4
3043,"Skamania County, Washington",26.0,35.6,30.3,8.1
3044,"Snohomish County, Washington",32.8,36.2,23.6,7.5
3045,"Spokane County, Washington",31.6,39.6,22.9,5.9
3046,"Stevens County, Washington",20.5,36.9,34.3,8.3
3047,"Thurston County, Washington",35.7,36.3,21.8,6.1
3048,"Wahkiakum County, Washington",20.3,44.0,28.4,7.3
3049,"Walla Walla County, Washington",28.6,38.5,20.7,12.2
3050,"Whatcom County, Washington",35.3,35.2,22.2,7.3
3051,"Whitman County, Washington",48.2,31.5,15.8,4.4
3052,"Yakima County, Washington",17.6,29.5,27.2,25.7
3053,"West Virginia, West Virginia",21.3,26.3,40.0,12.4
3054,"Barbour County, West Virginia",13.9,22.8,50.6,12.7
3055,"Berkeley County, West Virginia",22.8,30.1,37.4,9.7
3056,"Boone County, West Virginia",11.6,25.2,46.6,16.6
3057,"Braxton County, West Virginia",14.0,20.6,47.3,18.1
3058,"Brooke County, West Virginia",20.2,30.8,41.0,8.1
3059,"Cabell County, West Virginia",27.1,28.5,32.7,11.8
3060,"Calhoun County, West Virginia",12.2,24.9,45.7,17.2
3061,"Clay County, West Virginia",10.3,14.8,52.7,22.2
3062,"Doddridge County, West Virginia",16.6,21.2,44.3,17.9
3063,"Fayette County, West Virginia",15.2,25.5,43.7,15.5
3064,"Gilmer County, West Virginia",17.0,20.2,47.0,15.8
3065,"Grant County, West Virginia",12.6,23.1,46.9,17.5
3066,"Greenbrier County, West Virginia",20.1,28.0,37.6,14.3
3067,"Hampshire County, West Virginia",12.3,26.7,47.8,13.2
3068,"Hancock County, West Virginia",16.3,33.2,39.8,10.7
3069,"Hardy County, West Virginia",13.9,19.8,47.2,19.1
3070,"Harrison County, West Virginia",23.1,25.8,39.9,11.3
3071,"Jackson County, West Virginia",18.0,27.0,43.7,11.3
3072,"Jefferson County, West Virginia",31.6,28.2,30.7,9.5
3073,"Kanawha County, West Virginia",26.4,26.3,36.6,10.7
3074,"Lewis County, West Virginia",15.7,23.5,47.9,12.8
3075,"Lincoln County, West Virginia",7.8,26.7,45.7,19.9
3076,"Logan County, West Virginia",12.3,24.4,43.4,19.9
3077,"McDowell County, West Virginia",6.8,17.7,47.6,27.8
3078,"Marion County, West Virginia",23.1,26.7,40.5,9.8
3079,"Marshall County, West Virginia",18.6,29.3,44.6,7.6
3080,"Mason County, West Virginia",17.0,27.0,42.3,13.7
3081,"Mercer County, West Virginia",20.1,25.5,38.7,15.7
3082,"Mineral County, West Virginia",17.6,27.5,47.3,7.6
3083,"Mingo County, West Virginia",10.0,21.7,44.9,23.4
3084,"Monongalia County, West Virginia",43.7,22.4,26.7,7.2
3085,"Monroe County, West Virginia",15.5,20.5,51.3,12.6
3086,"Morgan County, West Virginia",18.6,27.5,42.1,11.9
3087,"Nicholas County, West Virginia",17.7,22.2,48.4,11.7
3088,"Ohio County, West Virginia",31.6,26.6,34.6,7.2
3089,"Pendleton County, West Virginia",17.9,14.9,47.9,19.2
3090,"Pleasants County, West Virginia",10.7,26.6,51.7,11.0
3091,"Pocahontas County, West Virginia",13.6,23.8,47.1,15.4
3092,"Preston County, West Virginia",16.2,21.3,49.0,13.5
3093,"Putnam County, West Virginia",26.3,29.4,36.7,7.7
3094,"Raleigh County, West Virginia",19.9,28.9,38.8,12.5
3095,"Randolph County, West Virginia",15.7,20.8,50.3,13.1
3096,"Ritchie County, West Virginia",11.8,24.4,47.4,16.4
3097,"Roane County, West Virginia",13.0,24.3,44.0,18.7
3098,"Summers County, West Virginia",16.0,26.8,42.8,14.4
3099,"Taylor County, West Virginia",18.8,28.3,43.6,9.3
3100,"Tucker County, West Virginia",19.5,22.7,46.0,11.8
3101,"Tyler County, West Virginia",16.2,27.6,45.6,10.6
3102,"Upshur County, West Virginia",16.2,19.5,51.0,13.3
3103,"Wayne County, West Virginia",17.5,25.1,38.6,18.9
3104,"Webster County, West Virginia",10.5,19.8,46.1,23.6
3105,"Wetzel County, West Virginia",12.6,26.1,47.9,13.4
3106,"Wirt County, West Virginia",10.6,32.4,40.1,16.9
3107,"Wood County, West Virginia",22.0,35.1,33.9,9.1
3108,"Wyoming County, West Virginia",11.8,19.6,46.6,21.9
3109,"Wisconsin, Wisconsin",30.8,31.5,30.3,7.4
3110,"Adams County, Wisconsin",14.8,31.5,41.2,12.6
3111,"Ashland County, Wisconsin",19.2,37.0,37.1,6.7
3112,"Barron County, Wisconsin",20.6,34.1,35.9,9.4
3113,"Bayfield County, Wisconsin",32.1,35.5,28.1,4.3
3114,"Brown County, Wisconsin",30.3,32.2,29.9,7.5
3115,"Buffalo County, Wisconsin",19.1,32.8,39.9,8.2
3116,"Burnett County, Wisconsin",21.1,35.1,36.9,7.0
3117,"Calumet County, Wisconsin",29.9,33.1,31.9,5.1
3118,"Chippewa County, Wisconsin",22.1,37.1,33.6,7.1
3119,"Clark County, Wisconsin",13.4,29.4,40.1,17.0
3120,"Columbia County, Wisconsin",24.2,36.5,32.7,6.7
3121,"Crawford County, Wisconsin",18.9,33.6,39.2,8.2
3122,"Dane County, Wisconsin",52.4,26.5,17.3,3.8
3123,"Dodge County, Wisconsin",18.0,33.0,40.2,8.8
3124,"Door County, Wisconsin",34.7,30.5,30.3,4.4
3125,"Douglas County, Wisconsin",25.8,39.3,28.7,6.3
3126,"Dunn County, Wisconsin",29.7,31.6,32.1,6.5
3127,"Eau Claire County, Wisconsin",33.3,36.2,25.6,4.9
3128,"Florence County, Wisconsin",21.3,35.3,36.4,6.9
3129,"Fond du Lac County, Wisconsin",23.9,32.7,35.7,7.7
3130,"Forest County, Wisconsin",15.2,35.5,39.1,10.2
3131,"Grant County, Wisconsin",23.2,34.0,34.7,8.1
3132,"Green County, Wisconsin",23.3,33.8,35.1,7.7
3133,"Green Lake County, Wisconsin",20.9,30.6,39.1,9.3
3134,"Iowa County, Wisconsin",25.3,35.9,34.2,4.6
3135,"Iron County, Wisconsin",21.8,41.0,32.3,4.9
3136,"Jackson County, Wisconsin",15.6,32.1,42.8,9.5
3137,"Jefferson County, Wisconsin",26.7,32.8,32.5,8.0
3138,"Juneau County, Wisconsin",15.0,34.5,40.3,10.2
3139,"Kenosha County, Wisconsin",27.8,33.1,29.3,9.8
